time_utc,uva,uvb,uvi,sza,ghi,melanogenic_effective_irradiance_wm2,absolute_tan_score_0_100,legacy_absolute_tan_score_55_30_15,tan_score_model_version,global_reference_version,time_local,day_of_year,local_hour,solar_elevation_deg,year
2001-01-01 13:00:00+00:00,0.58,0.0,0.0,87.69,13.32,0.00297,0.2,0.3,action-spectrum-v1,global-mel-ref-v1-provisional,2001-01-01 08:00:00-05:00,1,8.0,2.3100000000000023,2001
2001-01-01 14:00:00+00:00,3.5,0.01,0.08,79.39,85.0,0.02366,1.5,2.2,action-spectrum-v1,global-mel-ref-v1-provisional,2001-01-01 09:00:00-05:00,1,9.0,10.61,2001
2001-01-01 15:00:00+00:00,8.14,0.05,0.25,72.22,135.23,0.07033,4.4,5.4,action-spectrum-v1,global-mel-ref-v1-provisional,2001-01-01 10:00:00-05:00,1,10.0,17.78,2001
2001-01-01 16:00:00+00:00,9.7,0.09,0.45,67.17,197.6,0.10122,6.3,7.0,action-spectrum-v1,global-mel-ref-v1-provisional,2001-01-01 11:00:00-05:00,1,11.0,22.83,2001
2001-01-01 17:00:00+00:00,14.92,0.16,0.8,64.74,312.12,0.16803,10.5,11.2,action-spectrum-v1,global-mel-ref-v1-provisional,2001-01-01 12:00:00-05:00,1,12.0,25.260000000000005,2001
2001-01-01 18:00:00+00:00,15.39,0.16,0.8,65.24,360.62,0.17044,10.7,11.4,action-spectrum-v1,global-mel-ref-v1-provisional,2001-01-01 13:00:00-05:00,1,13.0,24.760000000000005,2001
2001-01-01 19:00:00+00:00,13.12,0.1,0.52,68.61,320.27,0.12446,7.8,9.1,action-spectrum-v1,global-mel-ref-v1-provisional,2001-01-01 14:00:00-05:00,1,14.0,21.39,2001
2001-01-01 20:00:00+00:00,8.06,0.04,0.2,74.44,195.9,0.06419,4.0,5.1,action-spectrum-v1,global-mel-ref-v1-provisional,2001-01-01 15:00:00-05:00,1,15.0,15.560000000000002,2001
2001-01-01 21:00:00+00:00,3.27,0.01,0.05,82.19,89.32,0.02248,1.4,1.9,action-spectrum-v1,global-mel-ref-v1-provisional,2001-01-01 16:00:00-05:00,1,16.0,7.810000000000002,2001
2001-01-02 13:00:00+00:00,0.74,0.0,0.03,87.69,15.15,0.00379,0.2,0.5,action-spectrum-v1,global-mel-ref-v1-provisional,2001-01-02 08:00:00-05:00,2,8.0,2.3100000000000023,2001
2001-01-02 14:00:00+00:00,4.66,0.01,0.08,79.38,98.75,0.0296,1.9,2.8,action-spectrum-v1,global-mel-ref-v1-provisional,2001-01-02 09:00:00-05:00,2,9.0,10.620000000000005,2001
2001-01-02 15:00:00+00:00,12.0,0.06,0.35,72.19,248.35,0.09583,6.0,7.8,action-spectrum-v1,global-mel-ref-v1-provisional,2001-01-02 10:00:00-05:00,2,10.0,17.810000000000002,2001
2001-01-02 16:00:00+00:00,17.57,0.14,0.73,67.11,349.62,0.17016,10.6,12.3,action-spectrum-v1,global-mel-ref-v1-provisional,2001-01-02 11:00:00-05:00,2,11.0,22.89,2001
2001-01-02 17:00:00+00:00,19.67,0.18,0.95,64.66,402.85,0.20382,12.7,14.3,action-spectrum-v1,global-mel-ref-v1-provisional,2001-01-02 12:00:00-05:00,2,12.0,25.340000000000003,2001
2001-01-02 18:00:00+00:00,19.24,0.17,0.9,65.14,395.73,0.19589,12.2,13.9,action-spectrum-v1,global-mel-ref-v1-provisional,2001-01-02 13:00:00-05:00,2,13.0,24.86,2001
2001-01-02 19:00:00+00:00,15.9,0.12,0.62,68.49,330.73,0.15016,9.4,11.0,action-spectrum-v1,global-mel-ref-v1-provisional,2001-01-02 14:00:00-05:00,2,14.0,21.510000000000005,2001
2001-01-02 20:00:00+00:00,9.66,0.05,0.25,74.31,225.25,0.07812,4.9,6.2,action-spectrum-v1,global-mel-ref-v1-provisional,2001-01-02 15:00:00-05:00,2,15.0,15.689999999999998,2001
2001-01-02 21:00:00+00:00,3.67,0.01,0.05,82.05,95.45,0.02453,1.5,2.2,action-spectrum-v1,global-mel-ref-v1-provisional,2001-01-02 16:00:00-05:00,2,16.0,7.950000000000003,2001
2001-01-03 13:00:00+00:00,0.49,0.0,0.0,87.69,10.1,0.00251,0.2,0.2,action-spectrum-v1,global-mel-ref-v1-provisional,2001-01-03 08:00:00-05:00,3,8.0,2.3100000000000023,2001
2001-01-03 14:00:00+00:00,2.9,0.01,0.08,79.36,63.47,0.02058,1.3,1.9,action-spectrum-v1,global-mel-ref-v1-provisional,2001-01-03 09:00:00-05:00,3,9.0,10.64,2001
2001-01-03 15:00:00+00:00,5.85,0.06,0.28,72.15,116.68,0.06432,4.0,4.2,action-spectrum-v1,global-mel-ref-v1-provisional,2001-01-03 10:00:00-05:00,3,10.0,17.849999999999994,2001
2001-01-03 16:00:00+00:00,9.11,0.12,0.6,67.05,171.43,0.11537,7.2,7.2,action-spectrum-v1,global-mel-ref-v1-provisional,2001-01-03 11:00:00-05:00,3,11.0,22.950000000000003,2001
2001-01-03 17:00:00+00:00,10.66,0.17,0.8,64.57,195.07,0.15193,9.5,8.8,action-spectrum-v1,global-mel-ref-v1-provisional,2001-01-03 12:00:00-05:00,3,12.0,25.430000000000007,2001
2001-01-03 18:00:00+00:00,11.61,0.17,0.85,65.02,218.3,0.1568,9.8,9.5,action-spectrum-v1,global-mel-ref-v1-provisional,2001-01-03 13:00:00-05:00,3,13.0,24.980000000000004,2001
2001-01-03 19:00:00+00:00,9.41,0.12,0.57,68.36,179.43,0.1169,7.3,7.3,action-spectrum-v1,global-mel-ref-v1-provisional,2001-01-03 14:00:00-05:00,3,14.0,21.64,2001
