wavelength_nm,effectiveness
280,1.000000e+00
281,1.000000e+00
282,1.000000e+00
283,1.000000e+00
284,1.000000e+00
285,1.000000e+00
286,1.000000e+00
287,1.000000e+00
288,1.000000e+00
289,1.000000e+00
290,1.000000e+00
291,1.000000e+00
292,1.000000e+00
293,1.000000e+00
294,1.000000e+00
295,1.000000e+00
296,1.000000e+00
297,1.000000e+00
298,1.000000e+00
299,8.053784e-01
300,6.486344e-01
301,5.223962e-01
302,4.207266e-01
303,3.388442e-01
304,2.728978e-01
305,2.197860e-01
306,1.770109e-01
307,1.425608e-01
308,1.148154e-01
309,9.246982e-02
310,7.447320e-02
311,5.997911e-02
312,4.830588e-02
313,3.890451e-02
314,3.133286e-02
315,2.523481e-02
316,2.032357e-02
317,1.636817e-02
318,1.318257e-02
319,1.061696e-02
320,8.550667e-03
321,6.886523e-03
322,5.546257e-03
323,4.466836e-03
324,3.597493e-03
325,2.897344e-03
326,2.333458e-03
327,1.879317e-03
328,1.513561e-03
329,1.412538e-03
330,1.364583e-03
331,1.318257e-03
332,1.273503e-03
333,1.230269e-03
334,1.188502e-03
335,1.148154e-03
336,1.109175e-03
337,1.071519e-03
338,1.035142e-03
339,1.000000e-03
340,9.660509e-04
341,9.332543e-04
342,9.015711e-04
343,8.709636e-04
344,8.413951e-04
345,8.128305e-04
346,7.852356e-04
347,7.585776e-04
348,7.328245e-04
349,7.079458e-04
350,6.839116e-04
351,6.606934e-04
352,6.382635e-04
353,6.165950e-04
354,5.956621e-04
355,5.754399e-04
356,5.559043e-04
357,5.370318e-04
358,5.188000e-04
359,5.011872e-04
360,4.841724e-04
361,4.677351e-04
362,4.518559e-04
363,4.365158e-04
364,4.216965e-04
365,4.073803e-04
366,3.935501e-04
367,3.801894e-04
368,3.672823e-04
369,3.548134e-04
370,3.427678e-04
371,3.311311e-04
372,3.198895e-04
373,3.090295e-04
374,2.985383e-04
375,2.884032e-04
376,2.786121e-04
377,2.691535e-04
378,2.600160e-04
379,2.511886e-04
380,2.426610e-04
381,2.344229e-04
382,2.264644e-04
383,2.187762e-04
384,2.113489e-04
385,2.041738e-04
386,1.972423e-04
387,1.905461e-04
388,1.840772e-04
389,1.778279e-04
390,1.717908e-04
391,1.659587e-04
392,1.603245e-04
393,1.548817e-04
394,1.496236e-04
395,1.445440e-04
396,1.396368e-04
397,1.348963e-04
398,1.303167e-04
399,1.258925e-04
400,1.216186e-04
