wavelength_nm,effectiveness
280,0.000000e+00
281,0.000000e+00
282,0.000000e+00
283,0.000000e+00
284,0.000000e+00
285,0.000000e+00
286,0.000000e+00
287,0.000000e+00
288,0.000000e+00
289,0.000000e+00
290,0.000000e+00
291,0.000000e+00
292,0.000000e+00
293,0.000000e+00
294,0.000000e+00
295,0.000000e+00
296,0.000000e+00
297,0.000000e+00
298,0.000000e+00
299,0.000000e+00
300,2.942221e-03
301,4.597630e-03
302,7.161365e-03
303,1.110866e-02
304,1.713777e-02
305,2.624528e-02
306,3.979288e-02
307,5.952079e-02
308,8.742725e-02
309,1.254119e-01
310,1.746334e-01
311,2.347220e-01
312,3.032695e-01
313,3.760907e-01
314,4.483373e-01
315,5.158879e-01
316,5.762383e-01
317,6.285833e-01
318,6.733460e-01
319,7.115788e-01
320,7.445005e-01
321,7.732344e-01
322,7.987008e-01
323,8.216012e-01
324,8.424443e-01
325,8.615841e-01
326,8.792576e-01
327,8.956168e-01
328,9.107533e-01
329,9.247167e-01
330,9.375285e-01
331,9.491914e-01
332,9.596966e-01
333,9.690286e-01
334,9.771684e-01
335,9.840966e-01
336,9.897943e-01
337,9.942451e-01
338,9.974355e-01
339,9.993557e-01
340,1.000000e+00
341,9.993670e-01
342,9.974597e-01
343,9.942861e-01
344,9.898586e-01
345,9.841942e-01
346,9.773145e-01
347,9.692457e-01
348,9.600180e-01
349,9.496661e-01
350,9.382282e-01
351,9.257465e-01
352,9.122664e-01
353,8.978368e-01
354,8.825089e-01
355,8.663370e-01
356,8.493774e-01
357,8.316883e-01
358,8.133295e-01
359,7.943621e-01
360,7.748480e-01
361,7.548499e-01
362,7.344306e-01
363,7.136528e-01
364,6.925788e-01
365,6.712704e-01
366,6.497882e-01
367,6.281918e-01
368,6.065390e-01
369,5.848860e-01
370,5.632871e-01
371,5.417942e-01
372,5.204572e-01
373,4.993232e-01
374,4.784368e-01
375,4.578396e-01
376,4.375707e-01
377,4.176661e-01
378,3.981587e-01
379,3.790786e-01
380,3.604527e-01
381,3.423052e-01
382,3.246569e-01
383,3.075260e-01
384,2.909278e-01
385,2.748746e-01
386,2.593761e-01
387,2.444395e-01
388,2.300694e-01
389,2.162681e-01
390,2.030356e-01
391,1.903697e-01
392,1.782664e-01
393,1.667199e-01
394,1.557224e-01
395,1.452650e-01
396,1.353371e-01
397,1.259270e-01
398,1.170219e-01
399,1.086078e-01
400,1.006703e-01
