wavelength_nm,effectiveness
280,1.000000e+00
281,1.000000e+00
282,1.000000e+00
283,1.000000e+00
284,1.000000e+00
285,1.000000e+00
286,1.000000e+00
287,1.000000e+00
288,1.000000e+00
289,1.000000e+00
290,1.000000e+00
291,9.364110e-01
292,8.768655e-01
293,8.211065e-01
294,7.688932e-01
295,7.200000e-01
296,6.554031e-01
297,5.966017e-01
298,5.430759e-01
299,4.943522e-01
300,4.500000e-01
301,3.968371e-01
302,3.499548e-01
303,3.086112e-01
304,2.721520e-01
305,2.400000e-01
306,2.089321e-01
307,1.818860e-01
308,1.583409e-01
309,1.378438e-01
310,1.200000e-01
311,1.026638e-01
312,8.783221e-02
313,7.514327e-02
314,6.428748e-02
315,5.500000e-02
316,4.697623e-02
317,4.012302e-02
318,3.426960e-02
319,2.927012e-02
320,2.500000e-02
321,2.226269e-02
322,1.982509e-02
323,1.765439e-02
324,1.572137e-02
325,1.400000e-02
326,1.251758e-02
327,1.119213e-02
328,1.000703e-02
329,8.947415e-03
330,8.000000e-03
331,7.223044e-03
332,6.521545e-03
333,5.888175e-03
334,5.316318e-03
335,4.800000e-03
336,4.369354e-03
337,3.977345e-03
338,3.620506e-03
339,3.295682e-03
340,3.000000e-03
341,2.793450e-03
342,2.601120e-03
343,2.422033e-03
344,2.255276e-03
345,2.100000e-03
346,1.963332e-03
347,1.835558e-03
348,1.716100e-03
349,1.604416e-03
350,1.500000e-03
351,1.396725e-03
352,1.300560e-03
353,1.211017e-03
354,1.127638e-03
355,1.050000e-03
356,9.893965e-04
357,9.322908e-04
358,8.784812e-04
359,8.277774e-04
360,7.800000e-04
361,7.401265e-04
362,7.022913e-04
363,6.663902e-04
364,6.323244e-04
365,6.000000e-04
366,5.664525e-04
367,5.347807e-04
368,5.048798e-04
369,4.766507e-04
370,4.500000e-04
371,4.279407e-04
372,4.069628e-04
373,3.870132e-04
374,3.680416e-04
375,3.500000e-04
376,3.347234e-04
377,3.201135e-04
378,3.061414e-04
379,2.927791e-04
380,2.800000e-04
381,2.691981e-04
382,2.588129e-04
383,2.488284e-04
384,2.392290e-04
385,2.300000e-04
386,2.189963e-04
387,2.085190e-04
388,1.985430e-04
389,1.890443e-04
390,1.800000e-04
391,1.711763e-04
392,1.627851e-04
393,1.548053e-04
394,1.472166e-04
395,1.400000e-04
396,1.357496e-04
397,1.316283e-04
398,1.276321e-04
399,1.237572e-04
400,1.200000e-04
