time_utc,uva,uvb,uvi,sza,ghi,melanogenic_effective_irradiance_wm2,absolute_tan_score_0_100,legacy_absolute_tan_score_55_30_15,tan_score_model_version,global_reference_version,time_local,day_of_year,local_hour,solar_elevation_deg,year
2001-01-01 00:00:00+00:00,1.59,0.01,0.03,86.38,32.08,0.01387,0.9,1.0,action-spectrum-v1,global-mel-ref-v1-provisional,2000-12-31 16:00:00-08:00,366,16.0,3.6200000000000045,2000
2001-01-01 15:00:00+00:00,1.98,0.01,0.03,85.62,46.65,0.01587,1.0,1.2,action-spectrum-v1,global-mel-ref-v1-provisional,2001-01-01 07:00:00-08:00,1,7.0,4.3799999999999955,2001
2001-01-01 16:00:00+00:00,9.87,0.07,0.32,75.78,224.38,0.09064,5.7,6.6,action-spectrum-v1,global-mel-ref-v1-provisional,2001-01-01 08:00:00-08:00,1,8.0,14.219999999999999,2001
2001-01-01 17:00:00+00:00,18.84,0.24,1.17,67.42,388.55,0.23391,14.6,14.7,action-spectrum-v1,global-mel-ref-v1-provisional,2001-01-01 09:00:00-08:00,1,9.0,22.58,2001
2001-01-01 18:00:00+00:00,26.61,0.44,2.17,61.24,519.97,0.38821,24.3,22.6,action-spectrum-v1,global-mel-ref-v1-provisional,2001-01-01 10:00:00-08:00,1,10.0,28.759999999999998,2001
2001-01-01 19:00:00+00:00,30.61,0.57,2.8,57.97,590.67,0.48312,30.2,27.0,action-spectrum-v1,global-mel-ref-v1-provisional,2001-01-01 11:00:00-08:00,1,11.0,32.03,2001
2001-01-01 20:00:00+00:00,29.95,0.56,2.75,58.09,575.53,0.47401,29.6,26.5,action-spectrum-v1,global-mel-ref-v1-provisional,2001-01-01 12:00:00-08:00,1,12.0,31.909999999999997,2001
2001-01-01 21:00:00+00:00,25.79,0.42,2.08,61.6,510.77,0.37256,23.3,21.8,action-spectrum-v1,global-mel-ref-v1-provisional,2001-01-01 13:00:00-08:00,1,13.0,28.4,2001
2001-01-01 22:00:00+00:00,18.25,0.22,1.08,67.95,388.2,0.21944,13.7,14.0,action-spectrum-v1,global-mel-ref-v1-provisional,2001-01-01 14:00:00-08:00,1,14.0,22.049999999999997,2001
2001-01-01 23:00:00+00:00,9.28,0.06,0.28,76.44,225.48,0.08189,5.1,6.1,action-spectrum-v1,global-mel-ref-v1-provisional,2001-01-01 15:00:00-08:00,1,15.0,13.560000000000002,2001
2001-01-02 00:00:00+00:00,1.67,0.01,0.03,86.27,44.17,0.01428,0.9,1.0,action-spectrum-v1,global-mel-ref-v1-provisional,2001-01-01 16:00:00-08:00,1,16.0,3.730000000000004,2001
2001-01-02 15:00:00+00:00,2.04,0.01,0.03,85.64,53.47,0.01618,1.0,1.2,action-spectrum-v1,global-mel-ref-v1-provisional,2001-01-02 07:00:00-08:00,2,7.0,4.359999999999999,2001
2001-01-02 16:00:00+00:00,10.15,0.06,0.32,75.79,235.88,0.08635,5.4,6.7,action-spectrum-v1,global-mel-ref-v1-provisional,2001-01-02 08:00:00-08:00,2,8.0,14.209999999999994,2001
2001-01-02 17:00:00+00:00,19.48,0.24,1.17,67.4,399.27,0.23719,14.8,15.0,action-spectrum-v1,global-mel-ref-v1-provisional,2001-01-02 09:00:00-08:00,2,9.0,22.599999999999994,2001
2001-01-02 18:00:00+00:00,27.6,0.45,2.22,61.2,529.9,0.39901,24.9,23.3,action-spectrum-v1,global-mel-ref-v1-provisional,2001-01-02 10:00:00-08:00,2,10.0,28.799999999999997,2001
2001-01-02 19:00:00+00:00,30.93,0.57,2.85,57.89,577.97,0.48476,30.3,27.4,action-spectrum-v1,global-mel-ref-v1-provisional,2001-01-02 11:00:00-08:00,2,11.0,32.11,2001
2001-01-02 20:00:00+00:00,30.87,0.57,2.83,57.99,577.92,0.48445,30.3,27.3,action-spectrum-v1,global-mel-ref-v1-provisional,2001-01-02 12:00:00-08:00,2,12.0,32.01,2001
2001-01-02 21:00:00+00:00,26.4,0.43,2.12,61.47,508.67,0.38141,23.8,22.3,action-spectrum-v1,global-mel-ref-v1-provisional,2001-01-02 13:00:00-08:00,2,13.0,28.53,2001
2001-01-02 22:00:00+00:00,18.89,0.23,1.12,67.82,390.08,0.22844,14.3,14.5,action-spectrum-v1,global-mel-ref-v1-provisional,2001-01-02 14:00:00-08:00,2,14.0,22.180000000000007,2001
2001-01-02 23:00:00+00:00,9.43,0.06,0.3,76.3,218.68,0.08266,5.2,6.3,action-spectrum-v1,global-mel-ref-v1-provisional,2001-01-02 15:00:00-08:00,2,15.0,13.700000000000003,2001
2001-01-03 00:00:00+00:00,1.74,0.01,0.03,86.15,44.47,0.01464,0.9,1.1,action-spectrum-v1,global-mel-ref-v1-provisional,2001-01-02 16:00:00-08:00,2,16.0,3.8499999999999943,2001
2001-01-03 15:00:00+00:00,2.04,0.01,0.03,85.66,54.33,0.01618,1.0,1.2,action-spectrum-v1,global-mel-ref-v1-provisional,2001-01-03 07:00:00-08:00,3,7.0,4.340000000000003,2001
2001-01-03 16:00:00+00:00,10.24,0.07,0.32,75.78,242.02,0.09254,5.8,6.8,action-spectrum-v1,global-mel-ref-v1-provisional,2001-01-03 08:00:00-08:00,3,8.0,14.219999999999999,2001
2001-01-03 17:00:00+00:00,19.48,0.24,1.2,67.38,403.95,0.23719,14.8,15.1,action-spectrum-v1,global-mel-ref-v1-provisional,2001-01-03 09:00:00-08:00,3,9.0,22.620000000000005,2001
2001-01-03 18:00:00+00:00,27.14,0.45,2.22,61.14,525.88,0.39665,24.8,23.0,action-spectrum-v1,global-mel-ref-v1-provisional,2001-01-03 10:00:00-08:00,3,10.0,28.86,2001
2001-01-03 19:00:00+00:00,31.44,0.58,2.9,57.8,597.88,0.4931,30.8,27.8,action-spectrum-v1,global-mel-ref-v1-provisional,2001-01-03 11:00:00-08:00,3,11.0,32.2,2001
2001-01-03 20:00:00+00:00,30.64,0.57,2.83,57.87,578.7,0.48327,30.2,27.1,action-spectrum-v1,global-mel-ref-v1-provisional,2001-01-03 12:00:00-08:00,3,12.0,32.13,2001
2001-01-03 21:00:00+00:00,26.54,0.43,2.15,61.34,515.58,0.38213,23.9,22.5,action-spectrum-v1,global-mel-ref-v1-provisional,2001-01-03 13:00:00-08:00,3,13.0,28.659999999999997,2001
2001-01-03 22:00:00+00:00,18.95,0.23,1.12,67.67,395.38,0.22875,14.3,14.5,action-spectrum-v1,global-mel-ref-v1-provisional,2001-01-03 14:00:00-08:00,3,14.0,22.33,2001
2001-01-03 23:00:00+00:00,9.79,0.06,0.3,76.15,234.82,0.08451,5.3,6.5,action-spectrum-v1,global-mel-ref-v1-provisional,2001-01-03 15:00:00-08:00,3,15.0,13.849999999999994,2001
2001-01-04 00:00:00+00:00,1.85,0.01,0.03,86.02,50.58,0.0152,1.0,1.1,action-spectrum-v1,global-mel-ref-v1-provisional,2001-01-03 16:00:00-08:00,3,16.0,3.980000000000004,2001
2001-01-04 15:00:00+00:00,1.98,0.01,0.03,85.67,54.4,0.01587,1.0,1.2,action-spectrum-v1,global-mel-ref-v1-provisional,2001-01-04 07:00:00-08:00,4,7.0,4.329999999999998,2001
