model,variable,lead_days,n,mae,rmse,bias,correlation,verification_source,inverse_mae,normalized_weight
ncep_gfs_global,cloud_cover,0,23976,37.2676009342676,52.45124688667214,-20.173423423423422,0.33553672924309735,openmeteo_historical_forecast_best_match,0.026832958788084987,2.6832956978255386e-08
ncep_gfs_global,cloud_cover,1,23412,43.2554245685973,58.54255637762211,-25.954211515462156,0.2063410535521017,openmeteo_historical_forecast_best_match,0.02311848768040952,0.2403750681464007
ncep_gfs_global,cloud_cover,2,23388,44.33358987514965,59.50413147329326,-26.685223191380196,0.18245697110288234,openmeteo_historical_forecast_best_match,0.022556260452089645,0.41285089374951106
ncep_gfs_global,cloud_cover,3,23335,45.735418898650096,60.64592676910221,-27.325391043496893,0.14563565339434448,openmeteo_historical_forecast_best_match,0.02186489211383424,0.41249989865327646
ncep_gfs_global,cloud_cover,4,23340,46.62142245072836,61.3786630206896,-27.89657240788346,0.12286647605407189,openmeteo_historical_forecast_best_match,0.02144936699554471,0.4189711590334379
ncep_gfs_global,cloud_cover,5,23287,46.81466054021557,60.563505561236575,-25.915961695366512,0.08471555214726163,openmeteo_historical_forecast_best_match,0.02136082988663267,0.427755026265474
ncep_gfs_global,cloud_cover,6,23292,47.63554009960502,60.88327296003916,-26.52863644169672,0.05816277989658166,openmeteo_historical_forecast_best_match,0.020992729334211785,0.4308408857178507
ncep_gfs_global,cloud_cover,7,23239,48.92693317268385,61.87213063308053,-25.139162614570335,0.012645329182724936,openmeteo_historical_forecast_best_match,0.020438640543247965,0.42991866309190163
ncep_gfs_global,precipitation,0,23976,0.04949532866199532,0.6172619073474908,0.005384551217884549,0.3348256564913029,openmeteo_historical_forecast_best_match,20.203926855987195,2.0203045250998318e-05
ncep_gfs_global,precipitation,1,23412,0.045532205706475315,0.5963554668280069,-8.542627712283206e-06,0.37924235876146956,openmeteo_historical_forecast_best_match,21.9624765478424,0.3827955124464094
ncep_gfs_global,precipitation,2,23388,0.04811441765007696,0.6070607438368201,-0.0013724987172909183,0.3314543685939901,openmeteo_historical_forecast_best_match,20.783790989069583,0.5218329967309537
ncep_gfs_global,precipitation,3,23364,0.05448125321006676,0.6348888124255507,0.00024396507447354857,0.25153822325920133,openmeteo_historical_forecast_best_match,18.354937544190435,0.5115846904523499
ncep_gfs_global,precipitation,4,23340,0.05154241645244216,0.6192886429667723,-0.00403598971722365,0.26108545881067663,openmeteo_historical_forecast_best_match,19.40149625935162,0.5312787609203056
ncep_gfs_global,precipitation,5,23316,0.04741808200377423,0.629127305543869,-0.011622919883341914,0.12740050214823717,openmeteo_historical_forecast_best_match,21.089001447178003,0.5467142981645678
ncep_gfs_global,precipitation,6,23292,0.04331530139103555,0.5858860755812692,-0.013296410784818821,0.2598308871822319,openmeteo_historical_forecast_best_match,23.086529884032114,0.565560163928046
ncep_gfs_global,precipitation,7,23268,0.04677668901495616,0.6172043476901574,-0.016202509884820356,0.07063308237051853,openmeteo_historical_forecast_best_match,21.378169790518193,0.5451151300746518
ncep_gfs_global,shortwave_radiation,0,23976,48.79671338004671,112.3309425640326,33.03136469803137,0.9401969015888835,openmeteo_historical_forecast_best_match,0.020493183469379034,2.049318255284341e-08
ncep_gfs_global,shortwave_radiation,1,23412,55.34307192892534,125.42534296594145,42.32299675380147,0.9326176118580044,openmeteo_historical_forecast_best_match,0.01806910901664902,0.4262127552267847
ncep_gfs_global,shortwave_radiation,2,23388,57.40644775098341,129.45645700506572,42.947665469471524,0.9282205191949043,openmeteo_historical_forecast_best_match,0.017419646035890964,1.0
ncep_gfs_global,shortwave_radiation,3,23364,58.87660503338469,132.03753736629025,43.70531587057011,0.9252230700511596,openmeteo_historical_forecast_best_match,0.016984674972902597,1.0
ncep_gfs_global,shortwave_radiation,4,23340,60.20077120822622,134.24968616272463,44.180548414738645,0.9226882701153497,openmeteo_historical_forecast_best_match,0.01661108288033615,1.0
ncep_gfs_global,shortwave_radiation,5,23316,62.69471607479842,134.1741793842988,43.69660319094184,0.9216715259024727,openmeteo_historical_forecast_best_match,0.01595030749970926,1.0
ncep_gfs_global,shortwave_radiation,6,23292,65.11085351193543,137.55150659734352,42.81856431392753,0.9145704463913057,openmeteo_historical_forecast_best_match,0.015358422537291585,1.0
ncep_gfs_global,shortwave_radiation,7,23268,66.98813821557503,139.7810491638491,41.506102802131686,0.9091426418494484,openmeteo_historical_forecast_best_match,0.014928016013549927,1.0
ncep_gfs_global,diffuse_radiation,0,23976,45.03516016016016,95.64686149466927,-40.19231731731732,0.7904380538840294,openmeteo_historical_forecast_best_match,0.022204872735961504,2.220487157807387e-08
ncep_gfs_global,diffuse_radiation,1,23383,47.92148141812428,100.48993993883116,-42.80100928024633,0.7652993917444927,openmeteo_historical_forecast_best_match,0.02086746841723871,0.4276187604400127
ncep_gfs_global,diffuse_radiation,2,23388,48.83517188301693,102.18789535410235,-43.61651274157688,0.7518807850235382,openmeteo_historical_forecast_best_match,0.020477044749539687,1.0
ncep_gfs_global,diffuse_radiation,3,23364,49.32267591165896,102.8420701708258,-43.89072932717001,0.7464959684912873,openmeteo_historical_forecast_best_match,0.0202746501789782,1.0
ncep_gfs_global,diffuse_radiation,4,23311,49.84925571618549,104.08081562517661,-44.44442537857664,0.7394526419822866,openmeteo_historical_forecast_best_match,0.020060480053974233,1.0
ncep_gfs_global,diffuse_radiation,5,23316,49.64466460799451,103.27694858705274,-43.46135700806313,0.7380837124228822,openmeteo_historical_forecast_best_match,0.020143151492637245,1.0
ncep_gfs_global,diffuse_radiation,6,23263,49.51382022954907,103.42060740003024,-43.96715814813223,0.7458500677080332,openmeteo_historical_forecast_best_match,0.020196381441866928,1.0
ncep_gfs_global,diffuse_radiation,7,23268,49.26323706377858,103.20996194054267,-42.69576242049166,0.7289553182256742,openmeteo_historical_forecast_best_match,0.02029911267717449,1.0
ncep_gfs_global,direct_normal_irradiance,0,23976,144.28026776776778,267.0997370333286,124.9686978645312,0.7678329863450051,openmeteo_historical_forecast_best_match,0.006930954699984277,6.930954575591727e-09
ncep_gfs_global,direct_normal_irradiance,1,23383,164.01360817688064,297.9834386384175,144.79949535987683,0.7314938958550244,openmeteo_historical_forecast_best_match,0.0060970550621723355,0.3519125031200542
ncep_gfs_global,direct_normal_irradiance,2,23388,168.6840174448435,305.36566456226257,147.2072686847956,0.7198419255441241,openmeteo_historical_forecast_best_match,0.005928243915147333,1.0
ncep_gfs_global,direct_normal_irradiance,3,23364,172.29253552473892,310.69234095146777,149.2663585002568,0.7101718973728118,openmeteo_historical_forecast_best_match,0.005804081975776677,1.0
ncep_gfs_global,direct_normal_irradiance,4,23311,175.72812406160182,315.16227333848883,150.9949852001201,0.7018684448127919,openmeteo_historical_forecast_best_match,0.005690608747689403,1.0
ncep_gfs_global,direct_normal_irradiance,5,23316,187.72366186309833,322.62835949840706,157.40203722765483,0.6818249063959211,openmeteo_historical_forecast_best_match,0.0053269789757738285,1.0
ncep_gfs_global,direct_normal_irradiance,6,23263,194.3941452091304,330.5424999456204,159.98969178523836,0.6633034606863445,openmeteo_historical_forecast_best_match,0.0051441878505352825,1.0
ncep_gfs_global,direct_normal_irradiance,7,23268,197.7523035929173,334.47878354114044,155.95975588791472,0.6416506017986578,openmeteo_historical_forecast_best_match,0.005056831105535683,1.0
ncep_gfs_global,uv_index,0,23976,0.0,0.0,0.0,1.0,openmeteo_historical_forecast_best_match,1000000.0,1.0
ncep_gfs_global,uv_index_clear_sky,0,23976,0.0,0.0,0.0,1.0,openmeteo_historical_forecast_best_match,1000000.0,1.0
ncep_hrrr_conus,cloud_cover,0,23976,0.0,0.0,0.0,1.0,openmeteo_historical_forecast_best_match,1000000.0,0.9999999325519927
ncep_hrrr_conus,cloud_cover,1,23389,26.14481166360255,41.17571313082577,2.3058275257599727,0.5330721433782776,openmeteo_historical_forecast_best_match,0.038248506543734184,0.3976898270356625
ncep_hrrr_conus,precipitation,0,23976,0.0,0.0,0.0,1.0,openmeteo_historical_forecast_best_match,1000000.0,0.9999563646713254
ncep_hrrr_conus,precipitation,1,23389,0.06804480738808842,0.8633454364751443,0.018106802342981742,0.23336813184100236,openmeteo_historical_forecast_best_match,14.696198554822494,0.2561477456584978
ncep_hrrr_conus,shortwave_radiation,0,23976,0.0,0.0,0.0,1.0,openmeteo_historical_forecast_best_match,1000000.0,0.9999999552760739
ncep_hrrr_conus,shortwave_radiation,1,23246,41.109180073991226,97.90153817032866,4.804267400843155,0.9434790413860471,openmeteo_historical_forecast_best_match,0.024325466920043864,0.5737872447732154
ncep_hrrr_conus,diffuse_radiation,0,23976,0.0,0.0,0.0,0.9999999999999999,openmeteo_historical_forecast_best_match,1000000.0,0.9999999478543449
ncep_hrrr_conus,diffuse_radiation,1,23389,35.80153063405874,81.06478639844897,-0.2671341228782761,0.8022786297267707,openmeteo_historical_forecast_best_match,0.027931766667223974,0.5723812395599873
ncep_hrrr_conus,direct_normal_irradiance,0,23976,0.0,0.0,0.0,1.0,openmeteo_historical_forecast_best_match,1000000.0,0.9999999820526096
