time_utc,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SRF_ALB,AOD_55,CLOUD_AMT,SZA,T2M,RH2M,PS,source,latitude_request,longitude_request
2003-01-01 00:00:00+00:00,1.48,0.01,0.03,30.05,117.37,27.43,42.25,0.34,0.17,0.01,81.85,86.44,13.25,65.07,99.78,nasa_power_ceres_merra2,34.04,-118.53
2003-01-01 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.01,83.6,90.0,11.69,69.0,99.84,nasa_power_ceres_merra2,34.04,-118.53
2003-01-01 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.01,98.2,90.0,11.07,72.19,99.91,nasa_power_ceres_merra2,34.04,-118.53
2003-01-01 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.01,95.26,90.0,10.44,74.55,99.94,nasa_power_ceres_merra2,34.04,-118.53
2003-01-01 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.01,74.41,90.0,9.82,76.12,99.92,nasa_power_ceres_merra2,34.04,-118.53
2003-01-01 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.01,34.79,90.0,9.37,78.43,99.9,nasa_power_ceres_merra2,34.04,-118.53
2003-01-01 06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.01,3.48,90.0,9.01,82.43,99.88,nasa_power_ceres_merra2,34.04,-118.53
2003-01-01 07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.01,15.46,90.0,8.73,86.39,99.86,nasa_power_ceres_merra2,34.04,-118.53
2003-01-01 08:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.01,26.05,90.0,8.54,88.36,99.85,nasa_power_ceres_merra2,34.04,-118.53
2003-01-01 09:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.01,13.94,90.0,8.28,89.06,99.85,nasa_power_ceres_merra2,34.04,-118.53
2003-01-01 10:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.01,2.24,90.0,8.05,88.97,99.83,nasa_power_ceres_merra2,34.04,-118.53
2003-01-01 11:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.01,12.67,90.0,7.94,87.98,99.81,nasa_power_ceres_merra2,34.04,-118.53
2003-01-01 12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.01,2.22,90.0,7.93,85.81,99.82,nasa_power_ceres_merra2,34.04,-118.53
2003-01-01 13:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.01,1.11,90.0,8.01,80.93,99.87,nasa_power_ceres_merra2,34.04,-118.53
2003-01-01 14:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.01,2.22,90.0,8.25,75.56,99.92,nasa_power_ceres_merra2,34.04,-118.53
2003-01-01 15:00:00+00:00,2.11,0.01,0.03,54.8,422.19,16.59,55.25,0.51,0.2,0.01,1.94,85.61,8.79,69.64,99.97,nasa_power_ceres_merra2,34.04,-118.53
2003-01-01 16:00:00+00:00,10.31,0.06,0.3,234.25,820.02,34.75,235.6,0.68,0.19,0.01,1.66,75.78,10.7,59.06,100.04,nasa_power_ceres_merra2,34.04,-118.53
2003-01-01 17:00:00+00:00,19.83,0.23,1.12,397.17,927.25,43.78,398.48,0.73,0.17,0.01,1.38,67.43,13.46,49.15,100.08,nasa_power_ceres_merra2,34.04,-118.53
2003-01-01 18:00:00+00:00,27.5,0.42,2.1,514.67,986.86,47.45,515.35,0.76,0.16,0.01,1.1,61.26,16.26,41.53,100.03,nasa_power_ceres_merra2,34.04,-118.53
2003-01-01 19:00:00+00:00,31.29,0.56,2.78,568.58,938.1,95.21,577.4,0.76,0.15,0.01,25.74,58.0,17.87,40.36,99.94,nasa_power_ceres_merra2,34.04,-118.53
2003-01-01 20:00:00+00:00,30.63,0.55,2.72,554.75,896.64,90.77,572.85,0.75,0.15,0.02,13.49,58.14,18.67,40.79,99.86,nasa_power_ceres_merra2,34.04,-118.53
2003-01-01 21:00:00+00:00,25.9,0.42,2.05,480.67,893.21,88.53,506.05,0.72,0.15,0.02,25.21,61.65,19.0,40.02,99.82,nasa_power_ceres_merra2,34.04,-118.53
2003-01-01 22:00:00+00:00,18.33,0.22,1.08,361.73,813.06,71.73,383.9,0.69,0.16,0.02,23.5,68.02,18.92,40.43,99.8,nasa_power_ceres_merra2,34.04,-118.53
2003-01-01 23:00:00+00:00,9.23,0.06,0.28,204.6,710.03,47.42,218.27,0.62,0.18,0.02,20.53,76.51,18.01,48.43,99.8,nasa_power_ceres_merra2,34.04,-118.53
2003-01-02 00:00:00+00:00,1.65,0.01,0.03,39.97,303.66,18.79,42.95,0.44,0.19,0.02,18.48,86.32,15.38,60.63,99.83,nasa_power_ceres_merra2,34.04,-118.53
2003-01-02 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.02,15.52,90.0,13.84,61.45,99.86,nasa_power_ceres_merra2,34.04,-118.53
2003-01-02 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.02,24.99,90.0,13.22,59.19,99.91,nasa_power_ceres_merra2,34.04,-118.53
2003-01-02 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.02,10.65,90.0,12.66,58.92,99.94,nasa_power_ceres_merra2,34.04,-118.53
2003-01-02 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.02,29.99,90.0,12.24,58.56,99.96,nasa_power_ceres_merra2,34.04,-118.53
2003-01-02 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.02,21.07,90.0,11.94,58.24,99.96,nasa_power_ceres_merra2,34.04,-118.53
2003-01-02 06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.02,9.48,90.0,11.76,58.23,99.94,nasa_power_ceres_merra2,34.04,-118.53
2003-01-02 07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.02,3.89,90.0,11.65,57.37,99.93,nasa_power_ceres_merra2,34.04,-118.53
2003-01-02 08:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.02,0.56,90.0,11.62,55.74,99.94,nasa_power_ceres_merra2,34.04,-118.53
2003-01-02 09:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.02,1.84,90.0,11.54,54.52,99.96,nasa_power_ceres_merra2,34.04,-118.53
2003-01-02 10:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.02,3.33,90.0,11.41,53.56,99.94,nasa_power_ceres_merra2,34.04,-118.53
2003-01-02 11:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.02,3.33,90.0,11.24,53.08,99.92,nasa_power_ceres_merra2,34.04,-118.53
2003-01-02 12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.02,3.33,90.0,11.12,53.03,99.94,nasa_power_ceres_merra2,34.04,-118.53
2003-01-02 13:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.02,2.22,90.0,11.01,53.07,99.97,nasa_power_ceres_merra2,34.04,-118.53
2003-01-02 14:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.02,0.56,90.0,10.83,53.48,100.0,nasa_power_ceres_merra2,34.04,-118.53
2003-01-02 15:00:00+00:00,2.09,0.01,0.03,53.35,413.4,18.03,53.5,0.5,0.19,0.02,0.66,85.63,11.19,52.6,100.04,nasa_power_ceres_merra2,34.04,-118.53
2003-01-02 16:00:00+00:00,10.19,0.07,0.32,231.7,801.6,38.01,232.32,0.67,0.17,0.03,0.76,75.78,12.85,48.14,100.08,nasa_power_ceres_merra2,34.04,-118.53
2003-01-02 17:00:00+00:00,19.59,0.25,1.23,394.52,902.28,50.27,395.52,0.73,0.15,0.03,0.86,67.41,15.47,42.26,100.09,nasa_power_ceres_merra2,34.04,-118.53
2003-01-02 18:00:00+00:00,27.16,0.46,2.25,512.1,957.74,53.76,513.28,0.76,0.14,0.03,0.96,61.22,18.03,38.83,100.03,nasa_power_ceres_merra2,34.04,-118.53
2003-01-02 19:00:00+00:00,30.26,0.58,2.85,554.08,885.13,100.92,571.25,0.74,0.14,0.04,14.97,57.93,19.75,36.91,99.91,nasa_power_ceres_merra2,34.04,-118.53
2003-01-02 20:00:00+00:00,30.7,0.58,2.88,568.7,975.88,58.12,569.0,0.76,0.13,0.04,0.8,58.04,21.22,30.45,99.82,nasa_power_ceres_merra2,34.04,-118.53
2003-01-02 21:00:00+00:00,26.11,0.44,2.15,492.45,901.18,75.8,504.45,0.73,0.15,0.04,11.18,61.53,21.73,29.13,99.76,nasa_power_ceres_merra2,34.04,-118.53
2003-01-02 22:00:00+00:00,18.32,0.23,1.15,366.4,780.1,81.88,382.55,0.69,0.16,0.04,19.7,67.88,21.43,32.16,99.73,nasa_power_ceres_merra2,34.04,-118.53
2003-01-02 23:00:00+00:00,9.22,0.06,0.3,203.35,648.25,62.75,217.3,0.61,0.18,0.04,27.96,76.37,19.84,45.78,99.73,nasa_power_ceres_merra2,34.04,-118.53
2003-01-03 00:00:00+00:00,1.67,0.01,0.03,37.17,188.07,25.57,42.92,0.4,0.18,0.04,40.8,86.21,17.06,54.41,99.73,nasa_power_ceres_merra2,34.04,-118.53
2003-01-03 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.04,51.74,90.0,15.74,55.1,99.75,nasa_power_ceres_merra2,34.04,-118.53
2003-01-03 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.04,54.54,90.0,15.19,52.85,99.76,nasa_power_ceres_merra2,34.04,-118.53
2003-01-03 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.04,29.5,90.0,14.57,52.51,99.77,nasa_power_ceres_merra2,34.04,-118.53
2003-01-03 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.04,33.37,90.0,14.23,52.6,99.77,nasa_power_ceres_merra2,34.04,-118.53
2003-01-03 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.04,95.04,90.0,14.19,52.54,99.76,nasa_power_ceres_merra2,34.04,-118.53
2003-01-03 06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.04,100.0,90.0,14.39,52.06,99.77,nasa_power_ceres_merra2,34.04,-118.53
2003-01-03 07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.04,99.9,90.0,14.51,51.84,99.75,nasa_power_ceres_merra2,34.04,-118.53
2003-01-03 08:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.04,99.36,90.0,14.6,51.43,99.72,nasa_power_ceres_merra2,34.04,-118.53
2003-01-03 09:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.04,99.9,90.0,14.43,51.6,99.71,nasa_power_ceres_merra2,34.04,-118.53
2003-01-03 10:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.04,79.28,90.0,14.44,50.1,99.67,nasa_power_ceres_merra2,34.04,-118.53
2003-01-03 11:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03,81.42,90.0,14.12,49.65,99.64,nasa_power_ceres_merra2,34.04,-118.53
2003-01-03 12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03,95.09,90.0,13.91,49.26,99.69,nasa_power_ceres_merra2,34.04,-118.53
2003-01-03 13:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03,98.32,90.0,14.1,47.29,99.75,nasa_power_ceres_merra2,34.04,-118.53
2003-01-03 14:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03,96.94,90.0,13.96,46.93,99.76,nasa_power_ceres_merra2,34.04,-118.53
2003-01-03 15:00:00+00:00,1.87,0.01,0.03,37.58,115.28,32.38,52.28,0.35,0.17,0.03,75.69,85.65,14.08,46.39,99.8,nasa_power_ceres_merra2,34.04,-118.53
2003-01-03 16:00:00+00:00,9.69,0.07,0.35,202.65,433.77,100.23,230.18,0.59,0.18,0.03,59.37,75.78,15.3,44.0,99.86,nasa_power_ceres_merra2,34.04,-118.53
2003-01-03 17:00:00+00:00,18.67,0.25,1.23,360.4,640.51,137.13,392.65,0.67,0.16,0.03,49.6,67.39,17.51,42.53,99.87,nasa_power_ceres_merra2,34.04,-118.53
2003-01-03 18:00:00+00:00,26.16,0.46,2.25,480.08,747.27,140.52,510.15,0.71,0.15,0.03,36.94,61.17,19.75,40.77,99.86,nasa_power_ceres_merra2,34.04,-118.53
2003-01-03 19:00:00+00:00,30.43,0.58,2.88,552.2,880.14,107.11,568.0,0.74,0.15,0.04,20.87,57.85,22.0,33.66,99.77,nasa_power_ceres_merra2,34.04,-118.53
2003-01-03 20:00:00+00:00,29.43,0.56,2.75,531.58,853.72,105.11,566.35,0.71,0.15,0.04,24.22,57.93,23.64,27.23,99.67,nasa_power_ceres_merra2,34.04,-118.53
2003-01-03 21:00:00+00:00,26.38,0.43,2.1,497.6,925.84,61.69,501.55,0.74,0.14,0.04,6.71,61.4,24.34,24.69,99.63,nasa_power_ceres_merra2,34.04,-118.53
2003-01-03 22:00:00+00:00,18.62,0.22,1.08,373.17,824.3,72.94,380.75,0.7,0.16,0.04,17.75,67.74,24.25,25.76,99.61,nasa_power_ceres_merra2,34.04,-118.53
2003-01-03 23:00:00+00:00,9.18,0.06,0.28,200.88,640.79,59.2,216.68,0.6,0.18,0.04,30.5,76.22,22.62,42.31,99.62,nasa_power_ceres_merra2,34.04,-118.53
2003-01-04 00:00:00+00:00,1.68,0.01,0.03,37.62,200.63,24.51,43.7,0.39,0.18,0.04,42.68,86.09,19.84,47.79,99.62,nasa_power_ceres_merra2,34.04,-118.53
2003-01-04 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.04,55.35,90.0,17.55,54.22,99.66,nasa_power_ceres_merra2,34.04,-118.53
2003-01-04 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.04,40.18,90.0,16.44,58.28,99.69,nasa_power_ceres_merra2,34.04,-118.53
2003-01-04 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.04,53.64,90.0,15.84,58.62,99.71,nasa_power_ceres_merra2,34.04,-118.53
2003-01-04 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.04,53.96,90.0,15.53,57.37,99.72,nasa_power_ceres_merra2,34.04,-118.53
2003-01-04 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.04,72.86,90.0,15.53,55.74,99.72,nasa_power_ceres_merra2,34.04,-118.53
2003-01-04 06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.04,63.6,90.0,15.77,53.9,99.69,nasa_power_ceres_merra2,34.04,-118.53
2003-01-04 07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.05,41.24,90.0,15.76,53.74,99.65,nasa_power_ceres_merra2,34.04,-118.53
2003-01-04 08:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.05,25.59,90.0,15.42,54.74,99.65,nasa_power_ceres_merra2,34.04,-118.53
2003-01-04 09:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.05,43.93,90.0,15.24,55.02,99.66,nasa_power_ceres_merra2,34.04,-118.53
2003-01-04 10:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.05,99.85,90.0,15.36,54.77,99.65,nasa_power_ceres_merra2,34.04,-118.53
2003-01-04 11:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.05,58.72,90.0,15.55,54.45,99.62,nasa_power_ceres_merra2,34.04,-118.53
2003-01-04 12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.05,74.79,90.0,15.57,54.84,99.63,nasa_power_ceres_merra2,34.04,-118.53
2003-01-04 13:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.05,86.87,90.0,14.95,57.0,99.68,nasa_power_ceres_merra2,34.04,-118.53
2003-01-04 14:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.06,97.13,90.0,14.75,57.57,99.73,nasa_power_ceres_merra2,34.04,-118.53
2003-01-04 15:00:00+00:00,1.84,0.01,0.03,36.28,53.5,35.14,49.0,0.34,0.17,0.06,93.26,85.66,15.38,55.67,99.76,nasa_power_ceres_merra2,34.04,-118.53
2003-01-04 16:00:00+00:00,8.98,0.06,0.28,182.88,232.26,126.71,225.62,0.53,0.17,0.06,90.58,75.78,17.14,50.28,99.83,nasa_power_ceres_merra2,34.04,-118.53
2003-01-04 17:00:00+00:00,16.97,0.21,1.02,325.9,391.61,199.74,389.17,0.6,0.14,0.06,89.26,67.36,18.66,47.94,99.88,nasa_power_ceres_merra2,34.04,-118.53
2003-01-04 18:00:00+00:00,24.24,0.4,1.95,447.33,568.26,229.92,511.25,0.66,0.13,0.05,87.38,61.11,21.02,41.98,99.86,nasa_power_ceres_merra2,34.04,-118.53
2003-01-04 19:00:00+00:00,27.86,0.5,2.5,521.95,722.07,160.54,564.55,0.69,0.13,0.08,39.22,57.76,23.23,34.7,99.77,nasa_power_ceres_merra2,34.04,-118.53
2003-01-04 20:00:00+00:00,27.45,0.49,2.45,512.8,743.32,157.74,564.92,0.68,0.13,0.07,41.26,57.81,24.5,31.4,99.67,nasa_power_ceres_merra2,34.04,-118.53
2003-01-04 21:00:00+00:00,25.48,0.39,1.95,502.75,917.01,63.46,503.58,0.74,0.16,0.07,0.96,61.27,24.94,30.31,99.62,nasa_power_ceres_merra2,34.04,-118.53
2003-01-04 22:00:00+00:00,17.85,0.2,1.02,373.45,799.29,70.22,382.77,0.7,0.14,0.06,8.33,67.6,24.5,32.98,99.62,nasa_power_ceres_merra2,34.04,-118.53
2003-01-04 23:00:00+00:00,9.16,0.06,0.28,212.27,688.07,49.05,219.0,0.63,0.18,0.06,9.63,76.08,22.82,46.66,99.63,nasa_power_ceres_merra2,34.04,-118.53
2003-01-05 00:00:00+00:00,1.77,0.01,0.03,42.22,263.26,21.0,44.72,0.43,0.19,0.05,16.84,85.96,19.87,53.03,99.63,nasa_power_ceres_merra2,34.04,-118.53
2003-01-05 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.05,22.55,90.0,17.83,56.06,99.65,nasa_power_ceres_merra2,34.04,-118.53
2003-01-05 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.05,95.74,90.0,16.86,57.81,99.68,nasa_power_ceres_merra2,34.04,-118.53
2003-01-05 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.04,99.68,90.0,16.44,57.01,99.7,nasa_power_ceres_merra2,34.04,-118.53
2003-01-05 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.04,97.06,90.0,16.13,57.11,99.71,nasa_power_ceres_merra2,34.04,-118.53
2003-01-05 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.04,88.07,90.0,15.58,60.76,99.7,nasa_power_ceres_merra2,34.04,-118.53
2003-01-05 06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.04,76.6,90.0,15.29,62.16,99.67,nasa_power_ceres_merra2,34.04,-118.53
2003-01-05 07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03,96.06,90.0,15.25,60.74,99.64,nasa_power_ceres_merra2,34.04,-118.53
2003-01-05 08:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03,85.91,90.0,15.28,59.24,99.62,nasa_power_ceres_merra2,34.04,-118.53
2003-01-05 09:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03,42.03,90.0,15.15,58.81,99.61,nasa_power_ceres_merra2,34.04,-118.53
2003-01-05 10:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03,36.12,90.0,14.93,58.79,99.58,nasa_power_ceres_merra2,34.04,-118.53
2003-01-05 11:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03,18.43,90.0,14.75,58.7,99.54,nasa_power_ceres_merra2,34.04,-118.53
2003-01-05 12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03,9.43,90.0,14.44,59.69,99.54,nasa_power_ceres_merra2,34.04,-118.53
2003-01-05 13:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.02,8.36,90.0,13.9,62.13,99.57,nasa_power_ceres_merra2,34.04,-118.53
2003-01-05 14:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.02,9.9,90.0,13.29,64.36,99.59,nasa_power_ceres_merra2,34.04,-118.53
2003-01-05 15:00:00+00:00,2.04,0.01,0.03,51.67,388.67,18.56,53.33,0.49,0.2,0.02,7.73,85.67,13.27,63.51,99.61,nasa_power_ceres_merra2,34.04,-118.53
2003-01-05 16:00:00+00:00,10.17,0.06,0.3,232.43,801.29,36.33,234.65,0.67,0.19,0.02,2.14,75.77,14.84,56.72,99.63,nasa_power_ceres_merra2,34.04,-118.53
2003-01-05 17:00:00+00:00,19.47,0.23,1.12,392.1,881.25,51.91,399.6,0.72,0.14,0.02,4.65,67.32,17.53,49.67,99.63,nasa_power_ceres_merra2,34.04,-118.53
2003-01-05 18:00:00+00:00,27.25,0.43,2.12,513.83,966.33,52.31,519.35,0.75,0.13,0.02,2.86,61.05,20.08,44.9,99.57,nasa_power_ceres_merra2,34.04,-118.53
2003-01-05 19:00:00+00:00,31.31,0.56,2.78,578.78,1002.96,51.83,581.2,0.77,0.14,0.02,1.08,57.66,22.26,37.57,99.44,nasa_power_ceres_merra2,34.04,-118.53
2003-01-05 20:00:00+00:00,30.71,0.56,2.75,567.75,973.41,64.35,580.7,0.75,0.14,0.02,12.79,57.69,23.35,33.08,99.31,nasa_power_ceres_merra2,34.04,-118.53
2003-01-05 21:00:00+00:00,25.74,0.42,2.05,486.48,901.24,61.91,517.75,0.72,0.14,0.02,13.42,61.13,23.7,31.55,99.23,nasa_power_ceres_merra2,34.04,-118.53
2003-01-05 22:00:00+00:00,18.41,0.22,1.1,373.08,859.94,52.21,397.02,0.69,0.14,0.02,12.06,67.45,23.62,32.29,99.18,nasa_power_ceres_merra2,34.04,-118.53
2003-01-05 23:00:00+00:00,9.66,0.06,0.3,220.9,759.85,40.14,231.18,0.65,0.19,0.02,9.6,75.93,22.25,45.48,99.15,nasa_power_ceres_merra2,34.04,-118.53
2003-01-06 00:00:00+00:00,1.9,0.01,0.03,48.53,386.33,17.38,50.75,0.47,0.2,0.02,8.32,85.83,19.48,53.09,99.14,nasa_power_ceres_merra2,34.04,-118.53
2003-01-06 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.02,5.44,90.0,17.88,55.06,99.14,nasa_power_ceres_merra2,34.04,-118.53
2003-01-06 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.02,4.44,90.0,17.37,54.8,99.16,nasa_power_ceres_merra2,34.04,-118.53
2003-01-06 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.01,3.33,90.0,17.25,52.6,99.21,nasa_power_ceres_merra2,34.04,-118.53
2003-01-06 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.01,2.22,90.0,18.03,46.35,99.26,nasa_power_ceres_merra2,34.04,-118.53
2003-01-06 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.01,3.89,90.0,18.38,41.46,99.31,nasa_power_ceres_merra2,34.04,-118.53
2003-01-06 06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.01,2.33,90.0,17.49,40.21,99.33,nasa_power_ceres_merra2,34.04,-118.53
2003-01-06 07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.01,2.78,90.0,16.86,37.39,99.35,nasa_power_ceres_merra2,34.04,-118.53
