temperature_2m,source,model,relative_humidity_2m,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,precipitation,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,terrestrial_radiation,uv_index,uv_index_clear_sky,sunshine_duration,time_utc,latitude_grid,longitude_grid,elevation_m
12.8,openmeteo_historical_forecast,best_match,80,996.1,2,2,0,0,0.0,186.0,114.0,72.0,480.1,335.9,0.9,1.0,3600.0,2022-01-01 00:00:00+00:00,34.03202,-118.52633,86.0
11.8,openmeteo_historical_forecast,best_match,82,997.3,100,100,0,0,0.0,0.0,0.0,0.0,0.0,94.5,0.2,0.2,0.0,2022-01-01 01:00:00+00:00,34.03202,-118.52633,86.0
12.0,openmeteo_historical_forecast,best_match,76,995.6,88,88,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-01 02:00:00+00:00,34.03202,-118.52633,86.0
11.7,openmeteo_historical_forecast,best_match,63,996.5,100,100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-01 03:00:00+00:00,34.03202,-118.52633,86.0
11.1,openmeteo_historical_forecast,best_match,55,997.1,4,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-01 04:00:00+00:00,34.03202,-118.52633,86.0
9.7,openmeteo_historical_forecast,best_match,46,997.9,15,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-01 05:00:00+00:00,34.03202,-118.52633,86.0
9.9,openmeteo_historical_forecast,best_match,49,998.7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-01 06:00:00+00:00,34.03202,-118.52633,86.0
8.8,openmeteo_historical_forecast,best_match,50,999.8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-01 07:00:00+00:00,34.03202,-118.52633,86.0
8.6,openmeteo_historical_forecast,best_match,34,1000.6,7,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-01 08:00:00+00:00,34.03202,-118.52633,86.0
7.9,openmeteo_historical_forecast,best_match,44,1001.3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-01 09:00:00+00:00,34.03202,-118.52633,86.0
7.4,openmeteo_historical_forecast,best_match,51,1002.3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-01 10:00:00+00:00,34.03202,-118.52633,86.0
7.9,openmeteo_historical_forecast,best_match,47,1003.1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-01 11:00:00+00:00,34.03202,-118.52633,86.0
8.3,openmeteo_historical_forecast,best_match,46,1003.4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-01 12:00:00+00:00,34.03202,-118.52633,86.0
7.8,openmeteo_historical_forecast,best_match,41,1004.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-01 13:00:00+00:00,34.03202,-118.52633,86.0
7.9,openmeteo_historical_forecast,best_match,38,1005.1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-01 14:00:00+00:00,34.03202,-118.52633,86.0
7.3,openmeteo_historical_forecast,best_match,46,1006.5,5,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-01 15:00:00+00:00,34.03202,-118.52633,86.0
8.5,openmeteo_historical_forecast,best_match,41,1007.4,13,0,0,13,0.0,69.0,48.0,21.0,458.0,113.5,0.25,0.25,3344.53,2022-01-01 16:00:00+00:00,34.03202,-118.52633,86.0
10.6,openmeteo_historical_forecast,best_match,42,1008.4,73,73,0,5,0.0,250.0,200.0,50.0,797.6,354.7,1.1,1.1,3600.0,2022-01-01 17:00:00+00:00,34.03202,-118.52633,86.0
13.7,openmeteo_historical_forecast,best_match,40,1009.4,5,5,0,0,0.0,410.0,324.0,86.0,831.1,551.5,2.1,2.2,3600.0,2022-01-01 18:00:00+00:00,34.03202,-118.52633,86.0
