date,day_overall_peak_0_100,day_absolute_peak_0_100,day_local_peak_0_100,day_atmospheric_peak_0_100,day_confidence_at_peak_0_100,best_30m_start,best_hour_start,best_hour_score_0_100,best_window_start,best_window_end,best_window_mean_0_100,peak_uv_index,peak_predicted_uva_wm2,peak_temperature_f,peak_precip_probability_pct,blocked_half_hours,day_status
2026-09-22,59.3,51.8,85.5,41.2,90.4,2026-09-22T13:00:00,2026-09-22T13:00:00,58.6,2026-09-22T11:30:00,2026-09-22T15:00:00,55.9,6.95,49.37,,,0,GOOD
2026-09-23,60.5,51.8,88.2,52.1,85.2,2026-09-23T13:00:00,2026-09-23T13:00:00,60.0,2026-09-23T11:30:00,2026-09-23T15:00:00,56.4,6.85,49.95,,,0,GOOD
2026-09-24,60.2,50.6,86.2,56.5,87.7,2026-09-24T13:30:00,2026-09-24T13:00:00,60.1,2026-09-24T11:30:00,2026-09-24T15:30:00,56.7,6.73,48.51,,,0,GOOD
2026-09-25,56.4,47.9,83.2,58.0,71.8,2026-09-25T14:00:00,2026-09-25T13:30:00,55.7,2026-09-25T12:00:00,2026-09-25T16:00:00,51.1,6.25,46.68,,,0,GOOD
2026-09-26,54.5,46.7,81.7,54.0,67.7,2026-09-26T14:00:00,2026-09-26T14:00:00,53.8,2026-09-26T11:00:00,2026-09-26T16:00:00,49.4,6.1,45.44,,,0,GOOD
2026-09-27,57.3,51.4,90.1,61.1,53.7,2026-09-27T13:00:00,2026-09-27T13:00:00,57.0,2026-09-27T11:00:00,2026-09-27T15:30:00,53.0,6.65,50.33,,,0,GOOD
2026-09-28,57.8,50.9,89.9,60.7,59.8,2026-09-28T13:00:00,2026-09-28T13:00:00,57.7,2026-09-28T11:00:00,2026-09-28T15:30:00,53.6,6.6,49.73,,,0,GOOD
2026-09-29,60.7,51.1,90.9,65.1,76.9,2026-09-29T13:00:00,2026-09-29T13:00:00,60.5,2026-09-29T11:30:00,2026-09-29T15:30:00,57.0,6.65,49.91,,,0,GOOD
2026-09-30,59.2,50.4,90.4,63.6,70.2,2026-09-30T13:00:00,2026-09-30T13:00:00,58.9,2026-09-30T11:30:00,2026-09-30T15:30:00,55.4,6.55,49.18,,,0,GOOD
2026-10-01,58.4,50.1,90.5,64.4,65.4,2026-10-01T13:00:00,2026-10-01T13:00:00,58.3,2026-10-01T11:30:00,2026-10-01T15:30:00,55.1,6.5,49.07,,,0,GOOD
2026-10-02,59.7,49.6,90.3,64.2,79.3,2026-10-02T13:00:00,2026-10-02T13:00:00,59.5,2026-10-02T11:30:00,2026-10-02T15:30:00,56.1,6.4,48.71,,,0,GOOD
2026-10-03,59.2,49.1,90.2,63.9,78.4,2026-10-03T13:00:00,2026-10-03T12:30:00,58.9,2026-10-03T11:30:00,2026-10-03T15:00:00,55.9,6.35,48.13,,,0,GOOD
2026-10-04,60.2,49.1,90.8,66.5,84.0,2026-10-04T13:00:00,2026-10-04T13:00:00,60.0,2026-10-04T11:30:00,2026-10-04T15:30:00,56.2,6.35,48.05,,,0,GOOD
2026-10-05,59.9,48.7,90.9,67.3,83.6,2026-10-05T13:00:00,2026-10-05T13:00:00,59.7,2026-10-05T11:30:00,2026-10-05T15:30:00,56.1,6.3,47.78,,,0,GOOD
