date,day_overall_peak_0_100,day_absolute_peak_0_100,day_local_peak_0_100,day_atmospheric_peak_0_100,day_confidence_at_peak_0_100,best_30m_start,best_hour_start,best_hour_score_0_100,best_window_start,best_window_end,best_window_mean_0_100,peak_uv_index,peak_predicted_uva_wm2,peak_temperature_f,peak_precip_probability_pct,day_high_temperature_f,day_low_temperature_f,day_high_feels_like_f,day_low_feels_like_f,day_peak_wind_mph,day_peak_gust_mph,blocked_half_hours,day_status
2026-09-22,54.7,46.2,78.0,40.8,91.9,2026-09-22T14:00:00,2026-09-22T13:30:00,54.7,2026-09-22T11:30:00,2026-09-22T16:00:00,50.5,6.45,42.62,,,,,,,,,0,GOOD
2026-09-23,60.9,51.3,87.0,59.3,86.2,2026-09-23T13:30:00,2026-09-23T13:00:00,60.8,2026-09-23T11:30:00,2026-09-23T15:30:00,57.0,6.76,49.48,,,,,,,,,0,GOOD
2026-09-24,54.2,47.8,81.7,40.6,72.0,2026-09-24T13:30:00,2026-09-24T13:30:00,54.2,2026-09-24T11:00:00,2026-09-24T15:00:00,50.9,6.7,43.83,,,,,,,,,0,GOOD
2026-09-25,60.3,51.7,89.2,56.9,78.7,2026-09-25T13:00:00,2026-09-25T13:00:00,60.2,2026-09-25T11:30:00,2026-09-25T15:00:00,56.6,6.75,50.39,,,,,,,,,0,GOOD
2026-09-26,54.2,46.8,82.0,54.7,64.2,2026-09-26T14:00:00,2026-09-26T13:30:00,54.1,2026-09-26T11:00:00,2026-09-26T16:00:00,50.4,6.15,45.39,,,,,,,,,0,GOOD
2026-09-27,45.1,40.0,70.5,38.7,51.9,2026-09-27T11:00:00,2026-09-27T11:00:00,42.5,2026-09-27T10:30:00,2026-09-27T12:00:00,41.4,5.0,40.2,,,,,,,,,0,FAIR
2026-09-28,58.6,51.2,90.4,62.8,62.8,2026-09-28T13:00:00,2026-09-28T13:00:00,58.5,2026-09-28T11:30:00,2026-09-28T15:30:00,55.4,6.6,50.24,,,,,,,,,0,GOOD
2026-09-29,59.8,51.4,91.3,66.8,66.9,2026-09-29T13:00:00,2026-09-29T13:00:00,59.7,2026-09-29T11:30:00,2026-09-29T15:30:00,56.3,6.65,50.33,,,,,,,,,0,GOOD
2026-09-30,61.0,51.3,91.1,69.2,75.5,2026-09-30T12:30:00,2026-09-30T12:30:00,61.0,2026-09-30T11:30:00,2026-09-30T14:30:00,57.6,6.78,49.37,,,,,,,,,0,GOOD
2026-10-01,59.9,50.5,91.0,66.3,72.6,2026-10-01T13:00:00,2026-10-01T12:30:00,59.8,2026-10-01T11:30:00,2026-10-01T14:30:00,57.1,6.7,48.48,,,,,,,,,0,GOOD
2026-10-02,58.3,48.3,88.5,57.4,82.6,2026-10-02T13:00:00,2026-10-02T13:00:00,58.3,2026-10-02T11:30:00,2026-10-02T15:30:00,55.0,6.35,46.8,,,,,,,,,0,GOOD
2026-10-03,60.2,49.4,90.6,65.5,83.4,2026-10-03T13:00:00,2026-10-03T13:00:00,59.8,2026-10-03T11:30:00,2026-10-03T15:30:00,55.9,6.45,48.09,,,,,,,,,0,GOOD
2026-10-04,61.0,49.9,91.8,70.4,82.1,2026-10-04T13:00:00,2026-10-04T13:00:00,60.8,2026-10-04T11:30:00,2026-10-04T15:30:00,57.1,6.5,48.59,,,,,,,,,0,GOOD
2026-10-05,59.8,48.6,90.7,66.7,84.0,2026-10-05T13:00:00,2026-10-05T13:00:00,59.5,2026-10-05T11:30:00,2026-10-05T15:30:00,55.9,6.4,47.07,,,,,,,,,0,GOOD
